80.00       -0.8000        0.89699E-03   -0.29390E-01
80.00       -0.7500        0.93684E-03   -0.30410E-01
80.00       -0.7000        0.97772E-03   -0.30827E-01
80.00       -0.6500        0.10196E-02   -0.30810E-01
80.00       -0.6000        0.10626E-02   -0.30472E-01
80.00       -0.5500        0.11065E-02   -0.29894E-01
80.00       -0.5000        0.11515E-02   -0.29136E-01
80.00       -0.4500        0.11975E-02   -0.28244E-01
80.00       -0.4000        0.12446E-02   -0.27253E-01
80.00       -0.3500        0.12927E-02   -0.26191E-01
80.00       -0.3000        0.13418E-02   -0.25080E-01
80.00       -0.2500        0.13919E-02   -0.23937E-01
80.00       -0.2000        0.14430E-02   -0.22775E-01
80.00       -0.1500        0.14952E-02   -0.21607E-01
80.00       -0.1000        0.15485E-02   -0.20441E-01
80.00       -0.5000E-01    0.16027E-02   -0.19284E-01
80.00         0.000        0.16580E-02   -0.18142E-01
80.00        0.5000E-01    0.17143E-02   -0.17020E-01
80.00        0.1000        0.17716E-02   -0.15920E-01
80.00        0.1500        0.18300E-02   -0.14847E-01
80.00        0.2000        0.18893E-02   -0.13802E-01
80.00        0.2500        0.19498E-02   -0.12786E-01
80.00        0.3000        0.20112E-02   -0.11802E-01
80.00        0.3500        0.20737E-02   -0.10849E-01
80.00        0.4000        0.21372E-02   -0.99275E-02
80.00        0.4500        0.22017E-02   -0.90383E-02
80.00        0.5000        0.22673E-02   -0.81807E-02
80.00        0.5500        0.23338E-02   -0.73541E-02
80.00        0.6000        0.24015E-02   -0.65576E-02
80.00        0.6500        0.24701E-02   -0.57896E-02
80.00        0.7000        0.25398E-02   -0.50479E-02
80.00        0.7500        0.26105E-02   -0.43293E-02
80.00        0.8000        0.26822E-02   -0.36284E-02
80.00        0.8500        0.27549E-02   -0.29359E-02
80.00        0.9000        0.28287E-02   -0.22325E-02
80.00        0.9500        0.29035E-02   -0.14649E-02
80.00         1.000        0.29794E-02     0.0000    
90.00        -1.000        0.61278E-03     0.0000    
90.00       -0.9500        0.65529E-03   -0.34899E-01
90.00       -0.9000        0.69970E-03   -0.44684E-01
